canonical_name,aliases
Dubai Hills Estate,"duba hills,dubai hills,dubaihills"
Meydan,"maidan,maydan,meydan"
Al Barsha,"albarsha,barsha"
Town Square,"nsquare,town sqaure,townsquare"
Al Furjan,"alfurjan,furjan"
Al Nahda,"alnahda,nahda"
Al Quoz,"al quoz,alquoz"
Al Qusais,"alqusais,qusais"
Al Twar,"altwar,twar"
Arabian Ranches,"arab ranches,arabianranches,ranches"
Bur Dubai,"bur dubai,burdubai"
Business Bay,"bbay,business bat,businessbay,businessby"
Deira,"deira,old dubai"
DIFC,"d.i.f.c,difc,dubai international financial centre"
Discovery Gardens,"dg,discovery,discoverygardens"
Downtown Dubai,"downtown,downtown burj,downtowndubai"
Dubai Festival City,"dfc,dubai festival,festival city"
Dubai Marina,"dubaimarina,marina"
Dubai Silicon Oasis,"dso,dubai silicon oasis,dubaisilicon"
Dubai Sports City,"dsc,dubai sport city,sports city"
Emirates Hills,"emirates hill,emirateshills"
International City,"ic,internationalcity,intl city"
Jumeirah Beach Residence,"jbr,jumeirah beach res,jumeirahbeach"
Jumeirah Village Circle,"jumeirah vilalge circle,jumeirah village,jumeriah village circle,jvc"
Mirdif,"merdiff,mirdiff"
Motor City,"dubaimotorcity,motorcity"
Palm Jumeirah,"palm,palmisland,palmjumeirah"
The Views,"theviews,views"
