Youtube,ProjectName,Developer,AreaName,PropertyType,StartingPrice,ImageLink,"Lat,Lng",PDF,RedSticker,LifeStyle,Handover,Payment Plan,Bedrooms
N/A,New project by Emaar Properties,Emaar,Emaar Beachfront,"Apartments, Penthouses",3660000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.096429, 55.139774",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,"Dubai Luxury Living, Beachfront Living, Waterfront Living",Q3 2029,80/20 Payment Plan,"1BR, 2BR, 3BR, 4BR"
N/A,A new phase on Palm Jebel Ali,Nakheel,Palm Jebel Ali,Villas,18100000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,N/A,https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,80/20 Payment Plan,Dubai Luxury Living,Q4 2028,80/20 Payment Plan,"5BR, 6BR"
N/A,Bay Grove Residences,Nakheel,Dubai Islands,"Apartments, Duplexes, Penthouses",1900000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.305331, 55.319754",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,70/30 Payment Plan,"Dubai Luxury Living, Beachfront Living, Waterfront Living",Q3 2028,70/30 Payment Plan,"1BR, 2BR, 3BR, 4BR"
N/A,Six Senses Residences⠀⠀,Select Group,Dubai Marina,"Apartments, Penthouses, Duplexes",5800000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.05216, 55.09013",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,40/60 Payment Plan,"Dubai Luxury Living, Branded Residences",Q3 2028,40/60 Payment Plan,"2BR, 3BR, 4BR, 5BR"
N/A,Ellington Cove,Ellington Properties,Dubai Islands,"Studios, Apartments, Penthouses, Duplexes",N/A,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.295976, 55.293030",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,Dubai Luxury Living,Q2 2028,70/30 Payment Plan,"1BR, 2BR, 3BR, 4BR"
N/A,Rena,Avenew Development,Dubai Islands,"Apartments, Penthouse, Townhouses",2500000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.322917, 55.323487",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,"Beachfront Living, Waterfront Living",Q2 2027,60/40 Payment Plan,"1BR, 2BR, 3BR"
N/A,Hillsedge,Emaar,Dubai Hills Estate,Apartments,1840000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.114243, 55.253620",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,Dubai Luxury Living,Q1 2029,80/20 Payment Plan,"1BR, 2BR"
N/A,Riverside Views,DAMAC,Riverside,Apartments,888000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"24.977955, 55.232726",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,"Dubai Luxury Living, Waterfront Living, Beachfront Living, Branded Residences",N/A,N/A,"1BR, 2BR"
N/A,Florine Beach Residences,Sobha,Sobha Siniya Island (Umm Al Quwain),"Apartments, Duplexes",1210000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.609482, 55.632373",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,"Beachfront Living, Waterfront Living",Q3 2028,60/40 Payment Plan,"1BR, 2BR, 3BR"
N/A,Eden Hills,H&H Development,Dubai Hills Estate,"Land Plots, Villas",17500000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.106996, 55.267368",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,50/50 Payment Plan,Green Nature Living,Q2 2027,50/50 Payment Plan,"5BR, 6BR"
N/A,DAMAC Islands,DAMAC,Dubailand,"Villas, Townhouses",2600000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.024720, 55.290088",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,Coming Soon,"Dubai Luxury Living, Beachfront Living, Waterfront Living",N/A,N/A,"4BR, 5BR, 6BR, 7BR"
https://youtu.be/bFrmNNQw9Cs,DAMAC Bay 2 by Cavalli,DAMAC,Dubai Harbour,Apartments,3300000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.092631, 55.143932",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,80/20 Payment Plan,"Dubai Luxury Living, Waterfront Living, Beachfront Living, Branded Residences",N/A,80/20 Payment Plan,"1BR, 2BR, 3BR, 4BR, 5BR"
https://youtu.be/A39x8Wz1un0,DAMAC Bay by Cavalli,DAMAC,Dubai Harbour,Apartments,3300000,https://new-projects-media.propertyfinder.com/project/a0b2ba1b-d641-478e-9f9b-3ebb3e0bf18a/gallery/image/L8V7T3vCfazwrRzUDu83XU4XjIaC3am5Tqg6uEvSWVQ=/big.webp,"25.092631, 55.143932",https://sobharealty.com/sites/default/files/2025-05/Sobha%20Central%20Brochure.pdf%202.pdf,80/20 Payment Plan,"Dubai Luxury Living, Waterfront Living, Beachfront Living, Branded Residences",N/A,80/20 Payment Plan,N/A
