Youtube,Link,ProjectName,Developer,AreaName,PropertyType,StartingPrice,ImageLink,"Lat,Lng",Language,Tours,PDF,RedSticker,Green Sticker,New/Hot,Free Sticker,Tags,LifeStyle,Handover,Payment Plan,Bedrooms,LinkRu,LinkAr
N/A,https://opr.ae/projects/apartments-and-penthouses-new-residential-complex-emaar-beachfront,New project by Emaar Properties,Emaar,Emaar Beachfront,"Apartments, Penthouses",3660000,https://cdn.opr.ae/upload/photo/Emaar%20beachfront%20new.jpg,"25.096429, 55.139774",EN,N/A,N/A,Coming Soon,N/A,N/A,N/A,N/A,"Dubai Luxury Living, Beachfront Living, Waterfront Living",Q3 2029,80/20 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/apartments-and-penthouses-new-residential-complex-emaar-beachfront,https://opr.ae/ar/projects/apartments-and-penthouses-new-residential-complex-emaar-beachfront
N/A,https://opr.ae/projects/villas-and-mansions-new-phase-palm-jebel-ali-dubai,A new phase on Palm Jebel Ali,Nakheel,Palm Jebel Ali,Villas,18100000,https://cdn.opr.ae/upload/photo/Palm%20Jebel%20Ali%20%E2%80%94%20Dubai's%20New%20Magnificent%20Project.jpg,N/A,EN,N/A,https://cdn.opr.ae/upload/brochures/PJA_Brochure.pdf,80/20 Payment Plan,Coming Soon,N/A,N/A,N/A,Dubai Luxury Living,Q4 2028,80/20 Payment Plan,"5BR, 6BR",https://opr.ae/ru/projects/villas-and-mansions-new-phase-palm-jebel-ali-dubai,https://opr.ae/ar/projects/villas-and-mansions-new-phase-palm-jebel-ali-dubai
N/A,https://opr.ae/projects/bay-grove-residences-by-nakheel-properties-on-dubai-islands,Bay Grove Residences,Nakheel,Dubai Islands,"Apartments, Duplexes, Penthouses",1900000,https://cdn.opr.ae/upload/photo/Bay%20Grove%20Residences.jpg,"25.305331, 55.319754",EN,N/A,https://cdn.opr.ae/upload/brochures/BayGrove%20Phase%202%20Brochure.pdf,70/30 Payment Plan,N/A,N/A,N/A,N/A,"Dubai Luxury Living, Beachfront Living, Waterfront Living",Q3 2028,70/30 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/bay-grove-residences-by-nakheel-properties-on-dubai-islands,https://opr.ae/ar/projects/bay-grove-residences-by-nakheel-properties-on-dubai-islands
N/A,https://opr.ae/projects/six-senses-residences-dubai-marina-by-select-group,Six Senses Residences⠀⠀,Select Group,Dubai Marina,"Apartments, Penthouses, Duplexes",5800000,https://cdn.opr.ae/photo/Six%20Senses%20Residences%202.jpg,"25.05216, 55.09013",EN,N/A,https://cdn.opr.ae/brochures/SixSensesResidencesDubaiMarinaBrochure.pdf,40/60 Payment Plan,HOT!,N/A,N/A,N/A,"Dubai Luxury Living, Branded Residences",Q3 2028,40/60 Payment Plan,"2BR, 3BR, 4BR, 5BR",https://opr.ae/ru/projects/six-senses-residences-dubai-marina-by-select-group,https://opr.ae/ar/projects/six-senses-residences-dubai-marina-by-select-group
N/A,https://opr.ae/projects/ellington-cove-ellington-properties-dubai-islands,Ellington Cove,Ellington Properties,Dubai Islands,"Studios, Apartments, Penthouses, Duplexes",N/A,https://cdn.opr.ae/upload/photo/Ellington%20Cove%20by%20Ellington%20Properties.jpg,"25.295976, 55.293030",EN,N/A,https://cdn.opr.ae/upload/brochures/Ellington%20Cove%20I%20-Slim%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q2 2028,70/30 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/ellington-cove-ellington-properties-dubai-islands,https://opr.ae/ar/projects/ellington-cove-ellington-properties-dubai-islands
N/A,https://opr.ae/projects/apartments-penthouse-and-townhouses-rena-dubai-islands,Rena,Avenew Development,Dubai Islands,"Apartments, Penthouse, Townhouses",2500000,https://cdn.opr.ae/upload/photo/RENA.jpg,"25.322917, 55.323487",EN,N/A,https://cdn.opr.ae/upload/brochures/Rena%20by%20AVENEW%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q2 2027,60/40 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/apartments-penthouse-and-townhouses-rena-dubai-islands,https://opr.ae/ar/projects/apartments-penthouse-and-townhouses-rena-dubai-islands
N/A,https://opr.ae/projects/hillsedge-emaar-properties-dubai-hills-estate-dubai,Hillsedge,Emaar,Dubai Hills Estate,Apartments,1840000,https://cdn.opr.ae/upload/photo/HILLSEDGE.jpg,"25.114243, 55.253620",EN,N/A,https://cdn.opr.ae/upload/brochures/HILLSEDGE_DHE_BROCHURE.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q1 2029,80/20 Payment Plan,"1BR, 2BR",https://opr.ae/ru/projects/hillsedge-emaar-properties-dubai-hills-estate-dubai,https://opr.ae/ar/projects/hillsedge-emaar-properties-dubai-hills-estate-dubai
N/A,https://opr.ae/projects/apartments-riverside-views-damac-properties,Riverside Views,DAMAC,Riverside,Apartments,888000,https://cdn.opr.ae/upload/photo/Riverside%20Views.jpg,"24.977955, 55.232726",EN,N/A,https://cdn.opr.ae/upload/brochures/Riverside%20brochure-V4-1.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Dubai Luxury Living, Waterfront Living, Beachfront Living, Branded Residences",N/A,N/A,"1BR, 2BR",https://opr.ae/ru/projects/apartments-riverside-views-damac-properties,https://opr.ae/ar/projects/apartments-riverside-views-damac-properties
N/A,https://opr.ae/projects/florine-beach-residences-sobha-realty-sobha-siniya-island,Florine Beach Residences,Sobha,Sobha Siniya Island (Umm Al Quwain),"Apartments, Duplexes",1210000,https://cdn.opr.ae/upload/photo/Florine%20Beach%20Residences.jpg,"25.609482, 55.632373",EN,N/A,https://cdn.opr.ae/upload/brochures/Florine%20Beach%20Residences%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q3 2028,60/40 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/florine-beach-residences-sobha-realty-sobha-siniya-island
N/A,https://opr.ae/projects/eden-hills-by-hh-development-in-mbr-city,Eden Hills,H&H Development,Dubai Hills Estate,"Land Plots, Villas",17500000,https://cdn.opr.ae/upload/photo/2024_11_13_Eden%20Hills%20Event_Presentation_Final-91.jpg,"25.106996, 55.267368",EN,N/A,https://cdn.opr.ae/upload/brochures/Eden%20Hills%20Event_Brochure.pdf,50/50 Payment Plan,Coming Soon,N/A,N/A,N/A,Green Nature Living,Q2 2027,50/50 Payment Plan,"5BR, 6BR",https://opr.ae/ru/projects/eden-hills-by-hh-development-in-mbr-city,https://opr.ae/ar/projects/eden-hills-by-hh-development-in-mbr-city
